condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,Multi-View-Average,82,1.0,0.0,1.0,,
full,Multi-View-Average,83,1.0,0.0,1.0,,
full,Multi-View-Average,84,1.0,0.0,1.0,,
full,Multi-View-Average,85,1.0,0.0,1.0,,
full,Multi-View-Average,86,1.0,0.0,1.0,,
full,Multi-View-Average,87,0.9666666388511658,0.03333336114883423,0.0,,
full,Multi-View-Average,88,1.0,0.0,1.0,,
full,Multi-View-Average,89,1.0,0.0,1.0,,
full,Multi-View-Average,90,1.0,0.0,1.0,,
full,Multi-View-Average,91,1.0,0.0,1.0,,
full,Multi-View-Average,92,1.0,0.0,1.0,,
full,Multi-View-Average,93,1.0,0.0,1.0,,
full,Multi-View-Average,94,1.0,0.0,1.0,,
full,Multi-View-Average,95,1.0,0.0,1.0,,
full,Multi-View-Average,96,1.0,0.0,1.0,,
full,Multi-View-Average,97,1.0,0.0,1.0,,
full,Multi-View-Average,98,1.0,0.0,1.0,,
full,Multi-View-Average,99,1.0,0.0,1.0,,
full,Multi-View-Average,100,0.9666666388511658,0.03333336114883423,0.0,,
full,Multi-View-Average,101,1.0,0.0,1.0,,
full,Multi-View-Average,102,1.0,0.0,1.0,,
full,Multi-View-Average,103,1.0,0.0,1.0,,
full,Multi-View-Average,104,1.0,0.0,1.0,,
full,Multi-View-Average,105,1.0,0.0,1.0,,
full,Multi-View-Average,106,1.0,0.0,1.0,,
full,Multi-View-Average,107,1.0,0.0,1.0,,
full,Multi-View-Average,108,1.0,0.0,1.0,,
full,Multi-View-Average,109,1.0,0.0,1.0,,
full,Multi-View-Average,110,1.0,0.0,1.0,,
full,Multi-View-Average,111,1.0,0.0,1.0,,
full,Multi-View-Average,112,1.0,0.0,1.0,,
full,Multi-View-Average,113,1.0,0.0,1.0,,
full,Multi-View-Average,114,1.0,0.0,1.0,,
full,Multi-View-Average,115,1.0,0.0,1.0,,
full,Multi-View-Average,116,1.0,0.0,1.0,,
full,Multi-View-Average,117,1.0,0.0,1.0,,
full,Multi-View-Average,118,1.0,0.0,1.0,,
full,Multi-View-Average,119,0.9666666388511658,0.03333336114883423,0.0,,
full,Multi-View-Average,120,1.0,0.0,1.0,,
full,Multi-View-Average,121,1.0,0.0,1.0,,
full,Multi-View-Average,122,1.0,0.0,1.0,,
full,Multi-View-Average,123,1.0,0.0,1.0,,
full,Multi-View-Average,124,1.0,0.0,1.0,,
full,Multi-View-Average,125,1.0,0.0,1.0,,
full,Multi-View-Average,126,1.0,0.0,1.0,,
full,Multi-View-Average,127,1.0,0.0,1.0,,
full,Multi-View-Average,128,1.0,0.0,1.0,,
full,Multi-View-Average,129,1.0,0.0,1.0,,
full,Multi-View-Average,130,1.0,0.0,1.0,,
full,Multi-View-Average,131,1.0,0.0,1.0,,
full,Multi-View-Average,132,1.0,0.0,1.0,,
full,Multi-View-Average,133,1.0,0.0,1.0,,
full,Multi-View-Average,134,1.0,0.0,1.0,,
full,Multi-View-Average,135,1.0,0.0,1.0,,
full,Multi-View-Average,136,1.0,0.0,1.0,,
full,Multi-View-Average,137,1.0,0.0,1.0,,
full,Multi-View-Average,138,1.0,0.0,1.0,,
full,Multi-View-Average,139,1.0,0.0,1.0,,
full,Multi-View-Average,140,1.0,0.0,1.0,,
full,Multi-View-Average,141,1.0,0.0,1.0,,
full,Multi-View-Average,142,1.0,0.0,1.0,,
full,Multi-View-Average,143,1.0,0.0,1.0,,
full,Single-View-FT,0,1.0,0.0,1.0,,
full,Single-View-FT,1,1.0,0.0,1.0,,
full,Single-View-FT,2,1.0,0.0,1.0,,
full,Single-View-FT,3,1.0,0.0,1.0,,
full,Single-View-FT,4,1.0,0.0,1.0,,
full,Single-View-FT,5,1.0,0.0,1.0,,
full,Single-View-FT,6,1.0,0.0,1.0,,
full,Single-View-FT,7,1.0,0.0,1.0,,
full,Single-View-FT,8,1.0,0.0,1.0,,
full,Single-View-FT,9,1.0,0.0,1.0,,
full,Single-View-FT,10,1.0,0.0,1.0,,
full,Single-View-FT,11,1.0,0.0,1.0,,
full,Single-View-FT,12,0.9666666388511658,0.03333336114883423,0.0,,
