fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.12319999999999999,macro_average,0.7876851956049601,,
average,0.12329999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12329999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12329999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12329999999999999,macro_average,0.7876851956049601,,
average,0.1234,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1234,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1234,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1234,macro_average,0.7876851956049601,,
average,0.1235,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1235,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1235,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1235,macro_average,0.7876851956049601,,
average,0.1236,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1236,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1236,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1236,macro_average,0.7876851956049601,,
average,0.12369999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12369999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12369999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12369999999999999,macro_average,0.7876851956049601,,
average,0.1238,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1238,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1238,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1238,macro_average,0.7876851956049601,,
average,0.1239,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1239,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1239,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1239,macro_average,0.7876851956049601,,
average,0.124,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.124,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.124,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.124,macro_average,0.7876851956049601,,
average,0.1241,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1241,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1241,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1241,macro_average,0.7876851956049601,,
average,0.12419999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12419999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12419999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12419999999999999,macro_average,0.7876851956049601,,
average,0.1243,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1243,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1243,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1243,macro_average,0.7876851956049601,,
average,0.1244,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1244,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1244,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1244,macro_average,0.7876851956049601,,
average,0.1245,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1245,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1245,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1245,macro_average,0.7876851956049601,,
average,0.12459999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12459999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12459999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12459999999999999,macro_average,0.7876851956049601,,
average,0.12469999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12469999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12469999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12469999999999999,macro_average,0.7876851956049601,,
average,0.1248,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1248,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1248,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1248,macro_average,0.7876851956049601,,
average,0.1249,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1249,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1249,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1249,macro_average,0.7876851956049601,,
